chr	start	end	isoID	strand	exon_start	exon_end	len	start_type	end_type	geneName	detail_type	type
chr17	59924462	59937268	chr17|59924462,59926490,59934419,59937157|59924581,59926617,59934592,59937268	-	59924462,59926490,59934419,59937157	59924581,59926617,59934592,59937268	534	m,m,m,m	m,m,m,m	BRIP1	full match	full match
chr11	85722073	85742653	chr11|85722073,85723324,85725913,85733410,85737334,85742511|85722179,85723435,85726006,85733512,85737409,85742653	-	85722073,85723324,85725913,85733410,85737334,85742511	85722179,85723435,85726006,85733512,85737409,85742653	635	m,m,m,m,m,m	m,m,m,m,m,m	PICALM	full match	full match
chr10	96201653	96234540	chr10|96201653,96207392,96211315,96234425|96201776,96207427,96211366,96234540	+	96201653,96207392,96211315,96234425	96201776,96207427,96211366,96234540	328	m,intron,intron,m	m,intron,intron,m	TBC1D12	full match	full match
chr17	58700882	58725443	chr17|58700882,58711214,58725253|58701110,58711338,58725443	+	58700882,58711214,58725253	58701110,58711338,58725443	545	m,m,m	m,m,m	PPM1D	full match	full match
chr3	125032152	125050082	chr3|125032152,125042232,125050002|125032500,125042288,125050082	-	125032152,125042232,125050002	125032500,125042288,125050082	487	m,m,m	m,m,m	ZNF148	full match	full match
chr22	32874968	32875262	chr22|32874968|32875262	+	32874968	32875262	295	m	m	FBXO7	full match	full match
chr8	103372299	103373854	chr8|103372299,103372817,103373353,103373810|103372418,103372893,103373434,103373854	-	103372299,103372817,103373353,103373810	103372418,103372893,103373434,103373854	324	m,m,m,m	m,m,m,m	UBR5	full match	full match
chr8	141874411	141900868	chr8|141874411,141889570,141900642|141874498,141889736,141900868	-	141874411,141889570,141900642	141874498,141889736,141900868	482	m,m,m	m,m,m	PTK2	full match	full match
chr17	11958206	11999011	chr17|11958206,11984673,11998892|11958308,11984847,11999011	+	11958206,11984673,11998892	11958308,11984847,11999011	398	m,m,m	m,m,m	MAP2K4	full match	full match
chr20	46270957	46276110	chr20|46270957,46275817|46271128,46276110	+	46270957,46275817	46271128,46276110	466	m,m	m,m	NCOA3	full match	full match
chr5	65284463	65310553	chr5|65284463,65288538,65290575,65307877,65309377,65310497|65284510,65288735,65290692,65307955,65309466,65310553	+	65284463,65288538,65290575,65307877,65309377,65310497	65284510,65288735,65290692,65307955,65309466,65310553	590	m,m,m,m,m,m	m,m,m,m,m,m	ERBB2IP	full match	full match
chr7	27668990	27689252	chr7|27668990,27671955,27689092|27669111,27672064,27689252	-	27668990,27671955,27689092	27669111,27672064,27689252	393	m,m,m	m,m,m	HIBADH	full match	full match
chr12	57064059	57066849	chr12|57064059,57065533,57066524,57066736|57064148,57065631,57066593,57066849	-	57064059,57065533,57066524,57066736	57064148,57065631,57066593,57066849	373	m,m,m,m	m,m,m,m	PTGES3	full match	full match
chr1	16199311	16203173	chr1|16199311,16202697|16199631,16203173	+	16199311,16202697	16199631,16203173	798	m,m	m,m	SPEN	full match	full match
chr5	56160561	56161804	chr5|56160561,56161167,56161656|56160761,56161283,56161804	+	56160561,56161167,56161656	56160761,56161283,56161804	467	m,m,m	m,m,m	MAP3K1	full match	full match
chr20	57014001	57016139	chr20|57014001,57015963|57014081,57016139	+	57014001,57015963	57014081,57016139	258	m,m	m,m	VAPB	full match	full match
chr8	120257591	120257856	chr8|120257591|120257856	+	120257591	120257856	266	inE	inE	MAL2	N5SS,N3SS	NSS
chr1	117944808	117948267	chr1|117944808,117948171|117945063,117948267	+	117944808,117948171	117945063,117948267	353	m,m	m,m	MAN1A2	full match	full match
chrX	123210182	123211908	chrX|123210182,123211807|123210321,123211908	+	123210182,123211807	123210321,123211908	242	m,m	m,m	STAG2	full match	full match
chr8	99718695	99719539	chr8|99718695,99719375|99718862,99719539	-	99718695,99719375	99718862,99719539	333	m,m	m,m	STK3	full match	full match
chr20	54956489	54959380	chr20|54956489,54958041,54959326|54956627,54958232,54959380	-	54956489,54958041,54959326	54956627,54958232,54959380	386	m,m,m	m,m,m	AURKA	full match	full match
chr16	69729039	69729282	chr16|69729039|69729282	+	69729039	69729282	244	m	m	NFAT5	full match	full match
chr5	65284463	65290692	chr5|65284463,65288538,65290575|65284510,65288735,65290692	+	65284463,65288538,65290575	65284510,65288735,65290692	364	m,m,m	m,m,m	ERBB2IP	full match	full match
chr9	115013209	115060196	chr9|115013209,115014958,115024715,115030329,115060112|115013383,115015068,115024879,115030475,115060196	-	115013209,115014958,115024715,115030329,115060112	115013383,115015068,115024879,115030475,115060196	683	m,m,m,m,m	m,m,m,m,m	PTBP3	full match	full match
chr8	103299661	103300494	chr8|103299661,103300383|103299792,103300494	-	103299661,103300383	103299792,103300494	244	m,m	m,m	UBR5	full match	full match
chr2	227729320	227779067	chr2|227729320,227731902,227771509,227773538,227778924|227729842,227732034,227771597,227773594,227779067	+	227729320,227731902,227771509,227773538,227778924	227729842,227732034,227771597,227773594,227779067	946	m,m,m,m,m	m,m,m,m,m	RHBDD1	full match	full match
chr10	5827105	5842668	chr10|5827105,5827815,5836848,5838726,5842561|5827236,5828013,5836982,5838825,5842668	-	5827105,5827815,5836848,5838726,5842561	5827236,5828013,5836982,5838825,5842668	674	m,m,m,m,m	m,m,m,m,m	GDI2	full match	full match
chr3	149563798	149629870	chr3|149563798,149570303,149589816,149613260,149619859,149629765|149563927,149570383,149589941,149613357,149619949,149629870	+	149563798,149570303,149589816,149613260,149619859,149629765	149563927,149570383,149589941,149613357,149619949,149629870	632	m,m,m,m,m,m	m,m,m,m,m,m	RNF13	full match	full match
chr3	157839892	157841780	chr3|157839892,157841655|157840087,157841780	+	157839892,157841655	157840087,157841780	322	m,m	m,m	RSRC1	full match	full match
chr11	85961338	85963282	chr11|85961338,85963190|85961490,85963282	+	85961338,85963190	85961490,85963282	246	m,m	m,m	EED	full match	full match
chr17	58342773	58348842	chr17|58342773,58343337,58346811,58348711|58342835,58343452,58346918,58348842	-	58342773,58343337,58346811,58348711	58342835,58343452,58346918,58348842	419	m,m,m,m	m,m,m,m	USP32	full match	full match
chr17	58346811	58348842	chr17|58346811,58348711|58346918,58348842	-	58346811,58348711	58346918,58348842	240	m,m	m,m	USP32	full match	full match
chr10	7839010	7844817	chr10|7839010,7840953,7841735,7841990,7844233,7844721|7839141,7841157,7841878,7842054,7844388,7844817	+	7839010,7840953,7841735,7841990,7844233,7844721	7839141,7841157,7841878,7842054,7844388,7844817	799	m,m,m,m,m,m	m,m,m,m,m,m	ATP5C1	full match	full match
chr6	87925621	87955362	chr6|87925621,87926017,87928314,87943043,87953193,87955221|87925775,87926095,87928449,87943245,87953329,87955362	+	87925621,87926017,87928314,87943043,87953193,87955221	87925775,87926095,87928449,87943245,87953329,87955362	852	m,m,m,m,m,m	m,m,m,m,m,m	ZNF292	full match	full match
chr17	1268153	1268352	chr17|1268153|1268352	-	1268153	1268352	200	m	m	YWHAE	full match	full match
chr4	151719233	151738409	chr4|151719233,151727423,151729472,151738276|151719294,151727556,151729550,151738409	-	151719233,151727423,151729472,151738276	151719294,151727556,151729550,151738409	409	m,m,m,m	m,m,m,m	LRBA	full match	full match
chr3	95774258	95778691	chr3|95774258,95778532|95774337,95778691	-	95774258,95778532	95774337,95778691	240	intergenic,intergenic	intergenic,intergenic		intergenic	intergenic
chr9	86297866	86301070	chr9|86297866,86300919|86297981,86301070	-	86297866,86300919	86297981,86301070	268	m,m	m,m	UBQLN1	full match	full match
chr4	129913322	129925031	chr4|129913322,129919029,129920827,129924896|129913392,129919094,129920949,129925031	-	129913322,129919029,129920827,129924896	129913392,129919094,129920949,129925031	396	m,m,m,m	m,m,m,m	SCLT1	full match	full match
chr10	128768966	128788867	chr10|128768966,128776212,128780182,128785785,128788719|128769049,128776252,128780237,128785881,128788867	+	128768966,128776212,128780182,128785785,128788719	128769049,128776252,128780237,128785881,128788867	427	m,m,m,m,m	m,m,m,m,m	DOCK1	full match	full match
chr16	69404386	69406258	chr16|69404386,69406172|69404532,69406258	-	69404386,69406172	69404532,69406258	234	m,m	m,m	TERF2	full match	full match
chr7	158552177	158557544	chr7|158552177,158552749,158554187,158555774,158557368|158552272,158552838,158554235,158555856,158557544	-	158552177,158552749,158554187,158555774,158557368	158552272,158552838,158554235,158555856,158557544	495	m,m,m,m,m	m,m,m,m,m	ESYT2	full match	full match
chr3	57827026	57835543	chr3|57827026,57832924,57835481|57827098,57832960,57835543	+	57827026,57832924,57835481	57827098,57832960,57835543	173	m,m,m	m,m,m	SLMAP	full match	full match
chr17	58365884	58379065	chr17|58365884,58372044,58378960|58366043,58372162,58379065	-	58365884,58372044,58378960	58366043,58372162,58379065	385	m,m,m	m,m,m	USP32	full match	full match
chr9	125941286	125946577	chr9|125941286,125946411|125941506,125946577	-	125941286,125946411	125941506,125946577	388	m,m	m,m	STRBP	full match	full match
chr4	153332455	153333681	chr4|153332455,153333632|153333024,153333681	-	153332455,153333632	153333024,153333681	620	m,m	m,m	FBXW7	full match	full match
chr3	160942718	160953000	chr3|160942718,160945035,160951187,160952515,160952910|160942852,160945131,160951267,160952643,160953000	+	160942718,160945035,160951187,160952515,160952910	160942852,160945131,160951267,160952643,160953000	533	m,m,m,m,m	m,m,m,m,m	NMD3	full match	full match
chr9	80409379	80412564	chr9|80409379,80412436|80409508,80412564	-	80409379,80412436	80409508,80412564	259	m,m	m,m	GNAQ	full match	full match
chr2	72945232	72960247	chr2|72945232,72958136,72958284,72960200|72945436,72958181,72958374,72960247	-	72945232,72958136,72958284,72960200	72945436,72958181,72958374,72960247	390	m,m,m,m	m,m,m,m	EXOC6B	full match	full match
chr12	100676721	100691953	chr12|100676721,100685281,100691809|100676925,100685438,100691953	+	100676721,100685281,100691809	100676925,100685438,100691953	508	m,m,m	m,m,m	SCYL2	full match	full match
chr3	196118684	196129890	chr3|196118684,196120425,196129823|196118796,196120490,196129890	-	196118684,196120425,196129823	196118796,196120490,196129890	247	m,m,m	m,m,m	UBXN7	full match	full match
chr15	44620883	44673174	chr15|44620883,44624186,44629961,44630435,44671888,44673004|44620985,44624276,44630105,44630515,44671986,44673174	+	44620883,44624186,44629961,44630435,44671888,44673004	44620985,44624276,44630105,44630515,44671986,44673174	690	m,m,m,m,m,m	m,m,m,m,m,m	CASC4	full match	full match
chr9	115030329	115060196	chr9|115030329,115038124,115060112|115030475,115038293,115060196	-	115030329,115038124,115060112	115030475,115038293,115060196	402	m,m,m	m,m,m	PTBP3	full match	full match
chr7	156549087	156619438	chr7|156549087,156554828,156555802,156556363,156589083,156619293|156549159,156554892,156555870,156556489,156589186,156619438	-	156549087,156554828,156555802,156556363,156589083,156619293	156549159,156554892,156555870,156556489,156589186,156619438	584	m,m,m,m,m,m	m,m,m,m,m,m	LMBR1	full match	full match
chr6	35586873	35610620	chr6|35586873,35587909,35604791,35610497|35586987,35588051,35604935,35610620	-	35586873,35587909,35604791,35610497	35586987,35588051,35604935,35610620	527	m,m,m,m	m,m,m,m	FKBP5	full match	full match
chr6	84108086	84117620	chr6|84108086,84117487|84108235,84117620	-	84108086,84117487	84108235,84117620	284	m,m	m,m	ME1	full match	full match
chr8	62593527	62596747	chr8|62593527,62596598|62593595,62596747	-	62593527,62596598	62593595,62596747	219	m,m	m,m	ASPH	full match	full match
chr1	59787208	59844509	chr1|59787208,59805630,59811919,59844421|59787422,59805741,59812070,59844509	+	59787208,59805630,59811919,59844421	59787422,59805741,59812070,59844509	568	m,m,m,m	m,m,m,m	FGGY	full match	full match
chrX	37892787	37893261	chrX|37892787|37893261	+	37892787	37893261	475	m	m	SYTL5	full match	full match
chr12	46965039	46971067	chr12|46965039,46970849|46965195,46971067	+	46965039,46970849	46965195,46971067	376	m,intron	m,intron	RP11-446N19.1	cryptic exon	cryptic exon
chr4	84183742	84203596	chr4|84183742,84185378,84188739,84191013,84193240,84194649,84200101,84203567|84183808,84185516,84188927,84191146,84193325,84194770,84200267,84203596	-	84183742,84185378,84188739,84191013,84193240,84194649,84200101,84203567	84183808,84185516,84188927,84191146,84193325,84194770,84200267,84203596	934	m,inE,m,m,m,m,m,intron	m,m,m,m,m,m,m,intron	COQ2	cryptic exon	cryptic exon
chr9	135171259	135187243	chr9|135171259,135172274,135173467,135176017,135187144|135171415,135172441,135173699,135176190,135187243	-	135171259,135172274,135173467,135176017,135187144	135171415,135172441,135173699,135176190,135187243	832	m,m,m,m,m	m,m,m,m,m	SETX	full match	full match
chr8	130915558	130924761	chr8|130915558,130916745,130924716|130915596,130916831,130924761	-	130915558,130916745,130924716	130915596,130916831,130924761	172	m,m,m	m,m,m	FAM49B	full match	full match
chr4	106162541	106183005	chr4|106162541,106163991,106164727,106180776,106182916|106162586,106164084,106164935,106180926,106183005	+	106162541,106163991,106164727,106180776,106182916	106162586,106164084,106164935,106180926,106183005	590	inE,m,m,m,m	m,m,m,m,m	TET2	N5SS	NSS
chr4	87687636	87691022	chr4|87687636,87688970,87690922|87687670,87689129,87691022	+	87687636,87688970,87690922	87687670,87689129,87691022	296	inE,m,m	m,m,inE	PTPN13	N5SS,N3SS	NSS
chr1	97235259	97236407	chr1|97235259,97236264|97235431,97236407	+	97235259,97236264	97235431,97236407	317	m,m	m,m	PTBP2	full match	full match
chr4	52729603	52758017	chr4|52729603,52729836,52740437,52742818,52743929,52752734,52757926|52729673,52729875,52740551,52742885,52744020,52752804,52758017	+	52729603,52729836,52740437,52742818,52743929,52752734,52757926	52729673,52729875,52740551,52742885,52744020,52752804,52758017	549	m,m,m,intron,m,m,m	m,m,m,intron,m,m,m	DCUN1D4	full match	full match
chr17	59820374	59853923	chr17|59820374,59821793,59853762|59820495,59821952,59853923	-	59820374,59821793,59853762	59820495,59821952,59853923	444	m,m,m	m,m,m	BRIP1	full match	full match
chr3	57827026	57850443	chr3|57827026,57832924,57835481,57843460,57843815,57846426,57847676,57850275|57827098,57832960,57835543,57843555,57843886,57846566,57847813,57850443	+	57827026,57832924,57835481,57843460,57843815,57846426,57847676,57850275	57827098,57832960,57835543,57843555,57843886,57846566,57847813,57850443	789	m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m	SLMAP	full match	full match
chr14	40124049	40125012	chr14|40124049,40124708|40124144,40125012	+	40124049,40124708	40124144,40125012	401	intergenic,intergenic	intergenic,intergenic		intergenic	intergenic
chr5	67059803	67086366	chr5|67059803,67070826,67086277|67059921,67070901,67086366	+	67059803,67070826,67086277	67059921,67070901,67086366	285	intron,m,m	intron,m,m	RP11-434D9.1	cryptic exon	cryptic exon
chr16	13141868	13154384	chr16|13141868,13142129,13154125|13141991,13142242,13154384	+	13141868,13142129,13154125	13141991,13142242,13154384	498	intron,intron,intron	intron,intron,intron	SHISA9	cryptic exon	cryptic exon
chr15	72781124	72810475	chr15|72781124,72789132,72791991,72810408|72781221,72789199,72792110,72810475	+	72781124,72789132,72791991,72810408	72781221,72789199,72792110,72810475	354	intron,m,intron,m	intron,m,intron,m	ARIH1	cryptic exon	cryptic exon
chr13	61057909	61084889	chr13|61057909,61059933,61068569,61083897,61084764|61057980,61060082,61068709,61084053,61084889	+	61057909,61059933,61068569,61083897,61084764	61057980,61060082,61068709,61084053,61084889	646	m,m,m,m,m	m,m,m,m,m	TDRD3	full match	full match
chr8	61171198	61184944	chr8|61171198,61176336,61178484,61184852|61171255,61176505,61178608,61184944	-	61171198,61176336,61178484,61184852	61171255,61176505,61178608,61184944	446	intron,intron,m,intron	intron,intron,m,intron	CA8	cryptic exon	cryptic exon
chr6	135360711	135363264	chr6|135360711,135363139|135360905,135363264	-	135360711,135363139	135360905,135363264	321	m,m	m,m	HBS1L	full match	full match
chr7	157159196	157160177	chr7|157159196,157160067|157159255,157160177	+	157159196,157160067	157159255,157160177	171	m,m	m,m	DNAJB6	full match	full match
chr11	120276827	120280159	chr11|120276827,120278447,120280103|120276850,120278532,120280159	+	120276827,120278447,120280103	120276850,120278532,120280159	167	m,m,m	m,m,m	ARHGEF12	full match	full match
chr2	86691176	86697531	chr2|86691176,86693495,86697327|86691339,86694006,86697531	+	86691176,86693495,86697327	86691339,86694006,86697531	881	m,m,m	m,m,m	KDM3A	full match	full match
chr7	102398301	102448798	chr7|102398301,102401720,102412856,102417700,102427782,102448737|102398393,102401858,102412897,102417795,102427916,102448798	+	102398301,102401720,102412856,102417700,102427782,102448737	102398393,102401858,102412897,102417795,102427916,102448798	567	m,m,m,m,m,m	m,m,m,m,m,inE	FAM185A	N5SS	NSS
chr5	179688684	179707608	chr5|179688684,179691781,179696280,179706796,179707440|179688822,179691839,179696409,179707036,179707608	-	179688684,179691781,179696280,179706796,179707440	179688822,179691839,179696409,179707036,179707608	738	m,m,m,m,m	m,m,m,m,m	MAPK9	full match	full match
chr2	86088304	86090608	chr2|86088304,86090485|86088415,86090608	-	86088304,86090485	86088415,86090608	236	m,m	m,m	ST3GAL5	full match	full match
chr9	123593609	123595734	chr9|123593609,123594110,123595590|123593737,123594223,123595734	-	123593609,123594110,123595590	123593737,123594223,123595734	388	m,m,m	m,m,m	PSMD5	full match	full match
chr17	59821793	59857762	chr17|59821793,59853762,59857622|59821952,59853923,59857762	-	59821793,59853762,59857622	59821952,59853923,59857762	463	m,m,m	m,m,m	BRIP1	full match	full match
chr14	21971316	21972024	chr14|21971316,21971807|21971720,21972024	-	21971316,21971807	21971720,21972024	623	m,m	m,m	METTL3	full match	full match
chr2	55209651	55214834	chr2|55209651,55214627|55209789,55214834	-	55209651,55214627	55209789,55214834	347	m,m	m,m	RTN4	full match	full match
chr9	86294690	86301070	chr9|86294690,86297866,86300919|86294952,86297981,86301070	-	86294690,86297866,86300919	86294952,86297981,86301070	531	m,m,m	m,m,m	UBQLN1	full match	full match
chr1	106758927	106778171	chr1|106758927,106766458,106774143,106777955|106759211,106766544,106774180,106778171	+	106758927,106766458,106774143,106777955	106759211,106766544,106774180,106778171	627	intergenic,intergenic,intergenic,intergenic	intergenic,intergenic,intergenic,intergenic		intergenic	intergenic
chr17	28808161	28815699	chr17|28808161,28811232,28811681,28814831,28815577|28808275,28811319,28811788,28814936,28815699	+	28808161,28811232,28811681,28814831,28815577	28808275,28811319,28811788,28814936,28815699	540	m,m,m,intron,intron	m,m,m,intron,intron	GOSR1	cryptic exon	cryptic exon
chr5	176370336	176385155	chr5|176370336,176378475,176382960,176385094|176370489,176378578,176383036,176385155	-	176370336,176378475,176382960,176385094	176370489,176378578,176383036,176385155	397	m,m,m,m	m,m,m,m	UIMC1	full match	full match
chr3	185316200	185331196	chr3|185316200,185316746,185318553,185324118,185327035,185329439,185330395,185331133|185316333,185316812,185318643,185324286,185327138,185329533,185330446,185331196	+	185316200,185316746,185318553,185324118,185327035,185329439,185330395,185331133	185316333,185316812,185318643,185324286,185327138,185329533,185330446,185331196	776	m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m	SENP2	full match	full match
chr2	39278285	39294894	chr2|39278285,39281755,39283843,39285814,39294769|39278428,39281964,39284007,39285945,39294894	-	39278285,39281755,39283843,39285814,39294769	39278428,39281964,39284007,39285945,39294894	777	m,m,m,m,m	m,m,m,m,m	SOS1	full match	full match
chrX	134679348	134690225	chrX|134679348,134680305,134680627,134681062,134683567,134685919,134690093|134679497,134680394,134680810,134681190,134683730,134686071,134690225	+	134679348,134680305,134680627,134681062,134683567,134685919,134690093	134679497,134680394,134680810,134681190,134683730,134686071,134690225	1003	m,m,m,m,m,m,m	m,m,m,m,m,m,m	DDX26B	full match	full match
chr7	65595731	65599361	chr7|65595731,65599267|65595829,65599361	+	65595731,65599267	65595829,65599361	194	m,m	m,m	CRCP	full match	full match
chr3	119720856	119812440	chr3|119720856,119812194|119721086,119812440	-	119720856,119812194	119721086,119812440	478	outE,m	m,inE	GSK3B	N5SS,N3SS	NSS
chr11	47505005	47506075	chr11|47505005,47505941|47505084,47506075	-	47505005,47505941	47505084,47506075	215	m,m	m,m	CELF1	full match	full match
chr17	58346811	58422969	chr17|58346811,58348711,58365884,58372044,58378960,58422842|58346918,58348842,58366043,58372162,58379065,58422969	-	58346811,58348711,58365884,58372044,58378960,58422842	58346918,58348842,58366043,58372162,58379065,58422969	753	m,m,m,m,m,m	m,m,m,m,m,m	USP32	full match	full match
chr1	145769408	145771730	chr1|145769408,145770115,145771635|145769497,145770190,145771730	-	145769408,145770115,145771635	145769497,145770190,145771730	262	m,intron,m	m,intron,m	GPR89A	full match	full match
chr2	29140759	29152576	chr2|29140759,29145785,29147848,29149334,29150435,29152445|29140861,29145849,29148019,29149420,29150566,29152576	+	29140759,29145785,29147848,29149334,29150435,29152445	29140861,29145849,29148019,29149420,29150566,29152576	691	m,m,m,m,m,m	m,m,m,m,m,m	WDR43	full match	full match
chr20	45905058	45916028	chr20|45905058,45910846,45912315,45915973|45905539,45910961,45912392,45916028	-	45905058,45910846,45912315,45915973	45905539,45910961,45912392,45916028	732	m,m,m,m	m,m,m,m	ZMYND8	full match	full match
chr12	57005574	57005781	chr12|57005574|57005781	-	57005574	57005781	208	inE	inE	BAZ2A	N5SS,N3SS	NSS
chr17	57814814	57895134	chr17|57814814,57816198,57842332,57851115,57886157,57889031,57895073|57814904,57816308,57842499,57851246,57886237,57889147,57895134	+	57814814,57816198,57842332,57851115,57886157,57889031,57895073	57814904,57816308,57842499,57851246,57886237,57889147,57895134	762	m,m,m,m,m,m,m	m,m,m,m,m,m,m	VMP1	full match	full match
chr2	201873696	201888762	chr2|201873696,201876115,201881714,201887554,201888682|201873811,201876195,201881893,201887655,201888762	-	201873696,201876115,201881714,201887554,201888682	201873811,201876195,201881893,201887655,201888762	560	m,m,m,m,m	m,m,m,m,m	FAM126B	full match	full match
chr3	197541779	197553885	chr3|197541779,197544047,197547196,197553749|197541923,197544173,197547301,197553885	+	197541779,197544047,197547196,197553749	197541923,197544173,197547301,197553885	515	m,m,m,m	m,m,m,m	LRCH3	full match	full match
chr10	17746430	17747740	chr10|17746430,17746969,17747587|17746517,17747023,17747740	+	17746430,17746969,17747587	17746517,17747023,17747740	297	m,m,m	m,m,m	STAM	full match	full match
chr17	59820373	59854050	chr17|59820373,59821789,59853762|59820495,59821952,59854050	+	59820373,59821789,59853762	59820495,59821952,59854050	576	a,a,a	a,a,a	BRIP1-AS1	antisense	antisense
chr14	75567695	75574190	chr14|75567695,75568360,75570545,75572653,75573205,75574046|75567856,75568468,75570700,75572699,75573405,75574190	-	75567695,75568360,75570545,75572653,75573205,75574046	75567856,75568468,75570700,75572699,75573405,75574190	820	m,m,m,m,m,m	m,m,m,m,m,m	NEK9	full match	full match
chr12	110418757	110421499	chr12|110418757,110421178,110421413|110418851,110421308,110421499	-	110418757,110421178,110421413	110418851,110421308,110421499	313	m,m,m	m,m,m	GIT2	full match	full match
chr16	90195031	90203008	chr16|90195031,90196205,90199627,90202950|90195140,90196336,90199842,90203008	+	90195031,90196205,90199627,90202950	90195140,90196336,90199842,90203008	517	m,m,m,m	m,m,m,m	FAM157C	full match	full match
chr5	129019813	129040084	chr5|129019813,129030413,129037081,129039932|129019966,129030548,129037285,129040084	+	129019813,129030413,129037081,129039932	129019966,129030548,129037285,129040084	648	m,m,m,m	m,m,m,m	ADAMTS19	full match	full match
chr13	42439872	42442613	chr13|42439872,42440038,42442482|42439949,42440172,42442613	-	42439872,42440038,42442482	42439949,42440172,42442613	345	m,m,m	m,m,m	VWA8	full match	full match
chr17	53016285	53024673	chr17|53016285,53019650,53024622|53016381,53019852,53024673	+	53016285,53019650,53024622	53016381,53019852,53024673	352	m,m,m	m,m,m	TOM1L1	full match	full match
